# Qboost UI strings. Columns: key<TAB>en<TAB>es<TAB>ja<TAB>fr<TAB>ar<TAB>ko<TAB>zh<TAB>pt<TAB>de<TAB>ru<TAB>hi<TAB>id<TAB>tr
key	en	es	ja	fr	ar	ko	zh	pt	de	ru	hi	id	tr
music_volume	Music volume	Volumen de la música	音楽の音量	Volume de la musique	مستوى صوت الموسيقى	음악 볼륨	音乐音量	Volume da música	Musiklautstärke	Громкость музыки	संगीत वॉल्यूम	Volume musik	Müzik ses düzeyi
haptics	Haptic feedback	Respuesta háptica	触覚フィードバック	Retour haptique	الاستجابة اللمسية	햅틱 피드백	触感反馈	Resposta tátil	Haptisches Feedback	Тактильный отклик	हैप्टिक फ़ीडबैक	Umpan balik getar	Dokunsal geri bildirim
haptics_desc	Short vibration on actions	Vibración corta al realizar acciones	操作時に短く振動	Courte vibration lors des actions	اهتزاز قصير عند الإجراءات	동작 시 짧은 진동	操作时短暂振动	Vibração curta nas ações	Kurze Vibration bei Aktionen	Короткая вибрация при действиях	कार्यों पर छोटा कंपन	Getar singkat saat beraksi	İşlemlerde kısa titreşim
click_sound	Click sound	Sonido de clic	クリック音	Son de clic	صوت النقر	클릭 소리	点击音效	Som de clique	Klickgeräusch	Звук нажатия	क्लिक ध्वनि	Suara klik	Tıklama sesi
click_sound_desc	Play a click when you press a button	Reproduce un clic al pulsar un botón	ボタンを押すとクリック音を再生	Joue un clic lorsque vous appuyez sur un bouton	تشغيل نقرة عند الضغط على زر	버튼을 누를 때 클릭음 재생	按下按钮时播放点击声	Toca um clique ao pressionar um botão	Spielt beim Drücken einer Taste einen Klick	Воспроизводит щелчок при нажатии кнопки	बटन दबाने पर क्लिक की आवाज़	Putar bunyi klik saat menekan tombol	Bir düğmeye bastığınızda tıklama sesi çalar
handle_opacity	Side handle opacity	Opacidad del tirador lateral	サイドハンドルの不透明度	Opacité de la poignée latérale	شفافية المقبض الجانبي	사이드 핸들 불투명도	侧边手柄不透明度	Opacidade da alça lateral	Deckkraft des Seitengriffs	Прозрачность боковой ручки	साइड हैंडल अपारदर्शिता	Opasitas gagang samping	Yan tutamaç opaklığı
handle_opacity_desc	The edge tab that opens the in-game panel. At 0% it is invisible but its touch area still works	La pestaña del borde que abre el panel. Con 0% es invisible, pero sigue respondiendo al tocarla	ゲーム内パネルを開く端のタブ。0%では見えませんが、タッチ操作は引き続き使えます	L'onglet du bord qui ouvre le panneau. À 0 %, il est invisible mais reste actif au toucher	علامة الحافة التي تفتح اللوحة. عند 0% تكون غير مرئية لكنها تظل تستجيب للمس	게임 내 패널을 여는 가장자리 탭입니다. 0%에서는 보이지 않지만 터치는 계속 작동합니다	用于打开游戏内面板的边缘标签。0% 时不可见，但触控区域仍然有效	A aba da borda que abre o painel. Com 0% fica invisível, mas continua respondendo ao toque	Der Randgriff, der das Panel öffnet. Bei 0 % ist er unsichtbar, reagiert aber weiterhin auf Berührung	Боковая вкладка, открывающая панель. При 0% она невидима, но по-прежнему реагирует на касание	किनारे का टैब जो पैनल खोलता है। 0% पर यह दिखाई नहीं देता, पर छूने पर काम करता रहता है	Tab tepi yang membuka panel. Pada 0% tidak terlihat, tetapi area sentuhnya tetap aktif	Paneli açan kenar sekmesi. %0'da görünmez ama dokunma alanı çalışmaya devam eder
panel_opacity	Panel opacity	Opacidad del panel	パネルの不透明度	Opacité du panneau	شفافية اللوحة	패널 불투명도	面板不透明度	Opacidade do painel	Deckkraft des Panels	Прозрачность панели	पैनल अपारदर्शिता	Opasitas panel	Panel opaklığı
panel_opacity_desc	How see-through the in-game panel is	Cuánto se transparenta el panel en juego	ゲーム内パネルの透け具合	Transparence du panneau en jeu	مدى شفافية اللوحة داخل اللعبة	게임 내 패널의 투명한 정도	游戏内面板的透明程度	Quão transparente é o painel no jogo	Wie durchsichtig das Ingame-Panel ist	Насколько прозрачна панель в игре	गेम पैनल कितना पारदर्शी है	Seberapa transparan panel dalam game	Oyun içi panelin ne kadar saydam olduğu
show_dock	App dock	Dock de apps	アプリドック	Dock d'applications	شريط التطبيقات	앱 독	应用坞	Dock de apps	App-Dock	Панель приложений	ऐप डॉक	Dock aplikasi	Uygulama rıhtımı
show_dock_desc	Quick-launch apps beside the in-game panel. Tap opens a floating window, hold opens the app	Apps de acceso rápido junto al panel. Tocar abre una ventana flotante, mantener abre la app	パネルの横のクイック起動アプリ。タップでフローティングウィンドウ、長押しでアプリを開きます	Applications à lancer rapidement à côté du panneau. Toucher ouvre une fenêtre flottante, appui long ouvre l'application	تطبيقات تشغيل سريع بجانب اللوحة. النقر يفتح نافذة عائمة والضغط المطول يفتح التطبيق	패널 옆 앱 바로 실행. 탭하면 플로팅 창, 길게 누르면 앱이 열립니다	面板旁的快速启动应用。点按打开悬浮窗口，长按打开应用	Apps de acesso rápido ao lado do painel. Tocar abre uma janela flutuante, manter pressionado abre o app	Schnellstart-Apps neben dem Panel. Tippen öffnet ein schwebendes Fenster, langes Drücken die App	Быстрый запуск приложений рядом с панелью. Касание — плавающее окно, удержание — открыть приложение	पैनल के पास ऐप्स का त्वरित लॉन्च। टैप करने पर फ्लोटिंग विंडो, देर तक दबाने पर ऐप खुलता है	Aplikasi peluncur cepat di samping panel. Ketuk membuka jendela mengambang, tahan membuka aplikasi	Panelin yanında hızlı başlatma uygulamaları. Dokunmak kayan pencere, basılı tutmak uygulamayı açar
reset_saturation	Reset screen saturation	Restablecer saturación	彩度をリセット	Réinitialiser la saturation	إعادة ضبط التشبع	채도 초기화	重置饱和度	Redefinir saturação	Sättigung zurücksetzen	Сбросить насыщенность	संतृप्ति रीसेट करें	Atur ulang saturasi	Doygunluğu sıfırla
reset_saturation_desc	Put the screen colors back to normal (needs root)	Devuelve los colores de pantalla a la normalidad (requiere root)	画面の色を元に戻します（root権限が必要）	Rétablit les couleurs de l'écran (nécessite le root)	يعيد ألوان الشاشة إلى وضعها الطبيعي (يتطلب روت)	화면 색상을 원래대로 되돌립니다 (root 필요)	将屏幕颜色恢复正常（需要 root）	Restaura as cores da tela ao normal (requer root)	Setzt die Bildschirmfarben zurück (Root nötig)	Возвращает цвета экрана к норме (нужен root)	स्क्रीन रंग सामान्य करें (रूट आवश्यक)	Kembalikan warna layar ke normal (perlu root)	Ekran renklerini normale döndürür (root gerekir)
app_info	App information	Información de la app	アプリ情報	Informations sur l'application	معلومات التطبيق	앱 정보	应用信息	Informações do app	App-Informationen	Информация о приложении	ऐप की जानकारी	Informasi aplikasi	Uygulama bilgisi
version	Version	Versión	バージョン	Version	الإصدار	버전	版本	Versão	Version	Версия	संस्करण	Versi	Sürüm
build	Build	Compilación	ビルド	Build	رقم البناء	빌드	构建号	Build	Build	Сборка	बिल्ड	Build	Yapı
package	Package	Paquete	パッケージ	Paquet	الحزمة	패키지	包名	Pacote	Paket	Пакет	पैकेज	Paket	Paket
device	Device	Dispositivo	デバイス	Appareil	الجهاز	기기	设备	Dispositivo	Gerät	Устройство	डिवाइस	Perangkat	Cihaz
android	Android	Android	Android	Android	Android	Android	Android	Android	Android	Android	Android	Android	Android
check_updates	Check for updates	Buscar actualizaciones	アップデートを確認	Rechercher des mises à jour	التحقق من التحديثات	업데이트 확인	检查更新	Verificar atualizações	Nach Updates suchen	Проверить обновления	अपडेट जांचें	Periksa pembaruan	Güncellemeleri denetle
check_updates_desc	Looks for a newer version on GitHub	Busca una versión más reciente en GitHub	GitHubで新しいバージョンを探します	Cherche une version plus récente sur GitHub	يبحث عن إصدار أحدث على GitHub	GitHub에서 최신 버전을 찾습니다	在 GitHub 上查找新版本	Procura uma versão mais nova no GitHub	Sucht auf GitHub nach einer neueren Version	Ищет новую версию на GitHub	GitHub पर नया संस्करण खोजता है	Mencari versi terbaru di GitHub	GitHub'da daha yeni bir sürüm arar
checking	Checking...	Comprobando...	確認中...	Vérification...	جارٍ التحقق...	확인 중...	正在检查...	Verificando...	Prüfe...	Проверка...	जांच रहा है...	Memeriksa...	Denetleniyor...
up_to_date	You are up to date	Estás al día	最新の状態です	Vous êtes à jour	أنت على أحدث إصدار	최신 버전입니다	已是最新版本	Você está atualizado	Du bist auf dem neuesten Stand	У вас последняя версия	आप अप टू डेट हैं	Sudah versi terbaru	Güncelsiniz
update_available	Update available: %s	Actualización disponible: %s	アップデートがあります: %s	Mise à jour disponible : %s	يتوفر تحديث: %s	업데이트 가능: %s	有可用更新：%s	Atualização disponível: %s	Update verfügbar: %s	Доступно обновление: %s	अपडेट उपलब्ध: %s	Pembaruan tersedia: %s	Güncelleme var: %s
update_failed	Couldn't check for updates	No se pudo buscar actualizaciones	アップデートを確認できませんでした	Impossible de vérifier les mises à jour	تعذر التحقق من التحديثات	업데이트를 확인할 수 없습니다	无法检查更新	Não foi possível verificar atualizações	Update-Prüfung fehlgeschlagen	Не удалось проверить обновления	अपडेट जांचना संभव नहीं हुआ	Gagal memeriksa pembaruan	Güncellemeler denetlenemedi
open_github	Open GitHub page	Abrir página de GitHub	GitHubページを開く	Ouvrir la page GitHub	فتح صفحة GitHub	GitHub 페이지 열기	打开 GitHub 页面	Abrir página do GitHub	GitHub-Seite öffnen	Открыть страницу GitHub	GitHub पेज खोलें	Buka halaman GitHub	GitHub sayfasını aç
p_tools	Gaming tools	Herramientas de juego	ゲームツール	Outils de jeu	أدوات الألعاب	게임 도구	游戏工具	Ferramentas de jogo	Gaming-Tools	Игровые инструменты	गेमिंग टूल्स	Alat gaming	Oyun araçları
p_games	Games	Juegos	ゲーム	Jeux	الألعاب	게임	游戏	Jogos	Spiele	Игры	गेम्स	Game	Oyunlar
p_cpu	CPU	CPU	CPU	CPU	CPU	CPU	CPU	CPU	CPU	CPU	CPU	CPU	CPU
p_memory	Memory	Memoria	メモリ	Mémoire	الذاكرة	메모리	内存	Memória	Speicher	Память	मेमोरी	Memori	Bellek
seg_battery	Battery	Batería	バッテリー	Batterie	البطارية	배터리	省电	Bateria	Akku	Батарея	बैटरी	Baterai	Pil
tile_mem	Memory optimization	Optimización de memoria	メモリ最適化	Optimisation de la mémoire	تحسين الذاكرة	메모리 최적화	内存优化	Otimização de memória	Speicheroptimierung	Оптимизация памяти	मेमोरी ऑप्टिमाइज़ेशन	Optimalisasi memori	Bellek optimizasyonu
tile_mem_desc	Free up system	Libera el sistema	システムを解放	Libérer le système	تفريغ النظام	시스템 정리	释放系统资源	Libera o sistema	System freigeben	Освободить систему	सिस्टम खाली करें	Bebaskan sistem	Sistemi rahatlat
tile_monitor	System monitor	Monitor del sistema	システムモニター	Moniteur système	مراقب النظام	시스템 모니터	系统监视器	Monitor do sistema	Systemmonitor	Системный монитор	सिस्टम मॉनिटर	Monitor sistem	Sistem izleyici
tile_monitor_desc	FPS, CPU, GPU, RAM	FPS, CPU, GPU, RAM	FPS, CPU, GPU, RAM	FPS, CPU, GPU, RAM	FPS, CPU, GPU, RAM	FPS, CPU, GPU, RAM	FPS, CPU, GPU, RAM	FPS, CPU, GPU, RAM	FPS, CPU, GPU, RAM	FPS, CPU, GPU, RAM	FPS, CPU, GPU, RAM	FPS, CPU, GPU, RAM	FPS, CPU, GPU, RAM
tool_touch	Touch boost	Impulso táctil	タッチブースト	Boost tactile	تعزيز اللمس	터치 부스트	触控增强	Impulso de toque	Touch-Boost	Ускорение касаний	टच बूस्ट	Boost sentuh	Dokunma artırma
tool_fan	Cooling fan	Ventilador	冷却ファン	Ventilateur	مروحة التبريد	냉각 팬	散热风扇	Ventoinha	Lüfter	Кулер	कूलिंग फैन	Kipas pendingin	Soğutma fanı
tool_haptics	Haptics	Vibración	触覚	Haptique	الاهتزاز	햅틱	触感	Vibração	Haptik	Вибро	हैप्टिक	Getar	Titreşim
tool_wifi	Wi-Fi	Wi-Fi	Wi-Fi	Wi-Fi	Wi-Fi	Wi-Fi	Wi-Fi	Wi-Fi	Wi-Fi	Wi-Fi	Wi-Fi	Wi-Fi	Wi-Fi
tool_bluetooth	Bluetooth	Bluetooth	Bluetooth	Bluetooth	Bluetooth	Bluetooth	Bluetooth	Bluetooth	Bluetooth	Bluetooth	Bluetooth	Bluetooth	Bluetooth
tool_cast	Cast	Transmitir	キャスト	Diffuser	بث	미러링	投屏	Transmitir	Streamen	Трансляция	कास्ट	Transmisi	Yayınla
tool_sound	Sound	Sonido	サウンド	Son	الصوت	소리	声音	Som	Ton	Звук	ध्वनि	Suara	Ses
tool_qboost	Qboost	Qboost	Qboost	Qboost	Qboost	Qboost	Qboost	Qboost	Qboost	Qboost	Qboost	Qboost	Qboost
tool_stop	Stop HUD	Detener HUD	HUDを停止	Arrêter le HUD	إيقاف HUD	HUD 중지	停止 HUD	Parar HUD	HUD beenden	Остановить HUD	HUD बंद करें	Hentikan HUD	HUD'ı durdur
sat_reset	Reset 100%	Restablecer 100%	100%にリセット	Réinitialiser 100 %	إعادة 100%	100%로 초기화	重置为 100%	Redefinir 100%	Auf 100 %	Сброс 100%	100% रीसेट	Atur ulang 100%	%100'e sıfırla
sat_copy	Copy ADB command	Copiar comando ADB	ADBコマンドをコピー	Copier la commande ADB	نسخ أمر ADB	ADB 명령 복사	复制 ADB 命令	Copiar comando ADB	ADB-Befehl kopieren	Копировать команду ADB	ADB कमांड कॉपी करें	Salin perintah ADB	ADB komutunu kopyala
no_games	No installed games found	No se encontraron juegos instalados	インストール済みのゲームがありません	Aucun jeu installé	لم يتم العثور على ألعاب مثبتة	설치된 게임이 없습니다	未找到已安装的游戏	Nenhum jogo instalado	Keine installierten Spiele gefunden	Установленные игры не найдены	कोई इंस्टॉल किया गया गेम नहीं मिला	Tidak ada game terpasang	Yüklü oyun bulunamadı
no_apps	No supported apps installed	Sin apps compatibles instaladas	対応アプリがインストールされていません	Aucune application compatible installée	لا توجد تطبيقات مدعومة	지원되는 앱이 없습니다	未安装受支持的应用	Nenhum app compatível instalado	Keine unterstützten Apps installiert	Нет поддерживаемых приложений	कोई समर्थित ऐप इंस्टॉल नहीं	Tidak ada aplikasi yang didukung	Desteklenen uygulama yok
upscaler	Upscaler	Escalador	アップスケーラー	Upscaler	مُحسِّن الدقة	업스케일러	超分辨率	Upscaler	Upscaler	Апскейлер	अपस्केलर	Upscaler	Upscaler
frame_gen	Frame gen	Gen. de fotogramas	フレーム生成	Génération d'images	توليد الإطارات	프레임 생성	帧生成	Geração de quadros	Frame-Generierung	Генерация кадров	फ्रेम जेन	Frame gen	Kare üretimi
scaler_sharpness	Upscaler sharpness	Nitidez del escalador	アップスケーラーのシャープネス	Netteté de l'upscaler	حدة مُحسِّن الدقة	업스케일러 선명도	超分辨率锐度	Nitidez do upscaler	Upscaler-Schärfe	Резкость апскейлера	अपस्केलर शार्पनेस	Ketajaman upscaler	Upscaler keskinliği
scaler_sharpness_desc	Sharpening strength of the Upscaler. It captures your game screen and needs Android 14 or newer	Fuerza de nitidez del escalador. Captura la pantalla del juego y requiere Android 14 o superior	アップスケーラーのシャープ化の強さ。ゲーム画面をキャプチャするためAndroid 14以降が必要です	Force de netteté de l'upscaler. Il capture l'écran du jeu et nécessite Android 14 ou plus	قوة الحدة في مُحسِّن الدقة. يلتقط شاشة اللعبة ويتطلب Android 14 أو أحدث	업스케일러의 선명도 강도입니다. 게임 화면을 캡처하며 Android 14 이상이 필요합니다	超分辨率的锐化强度。它会捕获游戏画面，需要 Android 14 或更高版本	Intensidade de nitidez do upscaler. Captura a tela do jogo e exige Android 14 ou mais recente	Schärfestärke des Upscalers. Er nimmt den Spielbildschirm auf und braucht Android 14 oder neuer	Сила резкости апскейлера. Он захватывает экран игры и требует Android 14 или новее	अपस्केलर की शार्पनिंग ताकत। यह गेम स्क्रीन कैप्चर करता है और Android 14 या नया चाहिए	Kekuatan penajaman upscaler. Menangkap layar game dan butuh Android 14 atau lebih baru	Upscaler'ın keskinleştirme gücü. Oyun ekranını yakalar ve Android 14 veya üstü gerekir
scaler_need_android14	Upscaler and Frame gen need Android 14 or newer	El escalador y la generación de fotogramas requieren Android 14 o superior	アップスケーラーとフレーム生成にはAndroid 14以降が必要です	L'upscaler et la génération d'images nécessitent Android 14 ou plus	يتطلب مُحسِّن الدقة وتوليد الإطارات Android 14 أو أحدث	업스케일러와 프레임 생성에는 Android 14 이상이 필요합니다	超分辨率和帧生成需要 Android 14 或更高版本	Upscaler e geração de quadros exigem Android 14 ou mais recente	Upscaler und Frame-Generierung brauchen Android 14 oder neuer	Апскейлер и генерация кадров требуют Android 14 или новее	अपस्केलर और फ्रेम जेन के लिए Android 14 या नया चाहिए	Upscaler dan Frame gen butuh Android 14 atau lebih baru	Upscaler ve kare üretimi için Android 14 veya üstü gerekir
